Player,Tm,Age,MP,WA_z,bucket,salary_25,years,npv,tier,multiplier,npv_effective
Jaylin Williams,OKC,23,1277.0,0.4609245961825256,rookie_scale,8450704.0,3,-10745624.105310299,above_cap_below_tax,1.0,-10745624.105310299
Kevin Porter Jr.,MIL,25,1261.0,0.1586181270274309,open_negotiation,5134000.0,2,-4504893.15716048,above_cap_below_tax,1.0,-4504893.15716048
Collin Murray-Boyles,TOR,20,1246.0,0.22269395472878245,rookie_scale,6332520.0,4,-14089247.630600473,above_cap_below_tax,1.0,-14089247.630600473
Nolan TraorÃ©,BRK,19,1243.0,-1.8063739224806852,rookie_scale,3811560.0,4,-43380638.73147091,below_cap,0.5,-21690319.365735456
Adem Bona,PHI,22,1234.0,-0.5347151881000148,rookie_scale,1955377.0,3,-6446356.916608004,above_cap_below_tax,1.0,-6446356.916608004
Andre Drummond,PHI,32,1231.0,-0.14204537218660357,open_negotiation,5000000.0,1,-3290792.8007570864,above_cap_below_tax,1.0,-3290792.8007570864
Pat Spencer,GSW,29,1229.0,-0.6924403024418033,min,857804.0,1,-1423352.999314278,first_apron,2.8,-3985388.398079978
Zach LaVine,SAC,30,1224.0,-0.5757894366265223,max,47499660.0,2,-94141856.99310815,above_cap_below_tax,1.0,-94141856.99310815
Jordan Walsh,BOS,21,1212.0,0.056753990681692276,rookie_scale,2221677.0,2,449648.6641188926,first_apron,2.3,1034191.9274734529
Jaxson Hayes,LAL,25,1207.0,0.3869909488348122,min,3449323.0,1,446366.2766620647,first_apron,2.8,1249825.574653781
Joel Embiid,PHI,31,1201.0,0.7270857266342937,max,55224526.0,4,-207474556.41926938,above_cap_below_tax,1.0,-207474556.41926938
Santi Aldama,MEM,25,1198.0,-0.012250746842840065,open_negotiation,18485916.0,3,-43687317.05316601,above_cap_below_tax,1.0,-43687317.05316601
Daniel Gafford,DAL,27,1195.0,0.1504032773221293,open_negotiation,14386320.0,4,-52932451.2439414,above_cap_below_tax,1.0,-52932451.2439414
Danny Wolf,BRK,21,1187.0,-0.8353786873140493,rookie_scale,2801280.0,4,-18905027.795871496,below_cap,0.5,-9452513.897935748
Jimmy Butler,GSW,36,1182.0,1.0786812940211974,max,54126450.0,2,-95936656.55656582,first_apron,2.8,-268622638.3583843
Mouhamed Gueye,ATL,23,1179.0,-0.34577364487808054,rookie_scale,2221677.0,2,-2863160.075359295,above_cap_below_tax,1.0,-2863160.075359295
GG Jackson II,MEM,21,1178.0,-0.5757894366265223,rookie_scale,2221677.0,2,-4897311.938023003,above_cap_below_tax,1.0,-4897311.938023003
Bones Hyland,MIN,25,1177.0,0.11918684844198371,min,2296274.0,1,492593.6039312519,first_apron,2.3,1132965.2890418794
Mitchell Robinson,NYK,27,1175.0,0.7845896745714044,open_negotiation,12954546.0,1,-7415600.006768262,first_apron,2.3,-17055880.015567
Simone Fontecchio,MIA,30,1173.0,-0.14040240224554332,open_negotiation,8307692.0,1,-6591694.483746468,above_cap_below_tax,1.0,-6591694.483746468
Landry Shamet,NYK,28,1171.0,-0.2291227790627994,min,2296274.0,1,-946953.6023198662,first_apron,2.3,-2177993.285335692
Day'Ron Sharpe,BRK,24,1160.0,0.14054545767576757,open_negotiation,6250000.0,2,-6573814.304989705,below_cap,0.5,-3286907.1524948524
Quinten Post,GSW,25,1159.0,-0.43285105175427635,min,1955377.0,1,-1448055.9116365581,first_apron,2.8,-4054556.5525823627
Svi Mykhailiuk,UTA,28,1156.0,-0.6530090238563562,open_negotiation,3675000.0,3,-11807013.804121718,above_cap_below_tax,1.0,-11807013.804121718
Caris LeVert,DET,31,1154.0,-0.39341977316882915,open_negotiation,14104000.0,2,-26765515.165230587,above_cap_below_tax,1.0,-26765515.165230587
Jakob Poeltl,TOR,30,1149.0,0.27198305296059133,open_negotiation,19500000.0,5,-95993145.12140557,above_cap_below_tax,1.0,-95993145.12140557
Craig Porter Jr.,CLE,25,1148.0,0.11425793861880278,min,2221677.0,2,891859.3223273933,second_apron,3.1,2764763.8992149197
Gary Payton II,GSW,33,1142.0,0.18490564608439566,min,2296274.0,1,764206.2843559915,first_apron,2.8,2139777.5961967763
Dru Smith,MIA,28,1141.0,0.14711733744000877,min,2378870.0,3,726529.7725460094,above_cap_below_tax,1.0,726529.7725460094
Isaiah Hartenstein,OKC,27,1137.0,0.7911615543356454,open_negotiation,28500000.0,2,-44870062.82932392,above_cap_below_tax,1.0,-44870062.82932392
Paul George,PHI,35,1135.0,0.020608651978365915,max,51666090.0,3,-147773833.38820976,above_cap_below_tax,1.0,-147773833.38820976
Jarred Vanderbilt,LAL,26,1128.0,-0.5380011279821353,open_negotiation,11571429.0,3,-35148852.81168315,first_apron,2.8,-98416787.8727128
De'Anthony Melton,GSW,27,1125.0,-0.8074481983160242,min,3080921.0,2,-8304196.5502839,first_apron,2.8,-23251750.34079492
Luka Garza,BOS,27,1118.0,0.525000423883877,min,2461463.0,2,3527449.4128477694,first_apron,2.3,8113133.649549869
Jalen Smith,CHI,25,1095.0,-0.2734829674714274,open_negotiation,9000000.0,2,-15703150.696469959,above_cap_below_tax,1.0,-15703150.696469959
Kentavious Caldwell-Pope,MEM,32,1088.0,-0.8074481983160242,open_negotiation,21621500.0,2,-43901989.03489412,above_cap_below_tax,1.0,-43901989.03489412
Hugo GonzÃ¡lez,BOS,19,1084.0,-0.47228233033972344,rookie_scale,2783880.0,4,-13703394.947661694,first_apron,2.3,-31517808.379621893
Jusuf NurkiÄ,UTA,31,1083.0,-0.23240871894492,open_negotiation,19375000.0,1,-18039260.236341104,above_cap_below_tax,1.0,-18039260.236341104
Miles McBride,NYK,25,1080.0,-0.03525232601768418,open_negotiation,4333333.0,2,-3902702.999892489,first_apron,2.3,-8976216.899752725
Gradey Dick,TOR,22,1067.0,-0.8255208676676874,rookie_scale,4990560.0,2,-14141003.029889356,above_cap_below_tax,1.0,-14141003.029889356
Giannis Antetokounmpo,MIL,31,1039.0,1.274194717007373,max,54126450.0,3,-146442547.11386093,above_cap_below_tax,1.0,-146442547.11386093
Tyler Herro,MIA,26,1033.0,0.004178952567762999,open_negotiation,31000000.0,2,-57911813.92104435,above_cap_below_tax,1.0,-57911813.92104435
Alex Caruso,OKC,31,1020.0,-0.023751536430262194,open_negotiation,18102000.0,4,-66923606.759522185,above_cap_below_tax,1.0,-66923606.759522185
Franz Wagner,ORL,24,1019.0,0.11425793861880278,max,38661750.0,5,-189904903.5125202,above_cap_below_tax,1.0,-189904903.5125202
Robert Williams,POR,28,1008.0,0.6153637706421935,open_negotiation,13285713.0,1,-8446169.658861967,above_cap_below_tax,1.0,-8446169.658861967
Aaron Gordon,DEN,30,1005.0,0.046896171035330704,open_negotiation,22841455.0,4,-112403133.90582924,above_cap_below_tax,1.0,-112403133.90582924
Nae'Qwan Tomlin,CLE,25,1004.0,-0.5166425187483514,min,718150.0,2,-2700063.7260143864,second_apron,3.1,-8370197.550644598
Mike Conley,MIN,38,991.0,-0.4772112401629044,open_negotiation,11499872.0,1,-11175889.470923258,first_apron,2.3,-25704545.783123493
Olivier-Maxence Prosper,MEM,23,984.0,-0.26198217788400535,rookie_scale,1002360.0,3,519522.6853251157,above_cap_below_tax,1.0,519522.6853251157
Justin Edwards,PHI,22,977.0,-0.5100706389841103,rookie_scale,2048494.0,3,-6461674.869861454,above_cap_below_tax,1.0,-6461674.869861454
Goga Bitadze,ORL,26,972.0,0.3771331291884505,open_negotiation,8333333.0,2,-8068228.824589864,above_cap_below_tax,1.0,-8068228.824589864
Al Horford,GSW,39,969.0,-0.13383052248130212,open_negotiation,5685000.0,2,-7820363.215923673,first_apron,2.8,-21897017.004586283
T.J. McConnell,IND,33,963.0,0.03703835138896883,open_negotiation,10200000.0,4,-32564721.081432622,above_cap_below_tax,1.0,-32564721.081432622
Anthony Gill,WAS,33,951.0,-0.6875113926186224,min,2296274.0,1,-2841452.048282422,above_cap_below_tax,1.0,-2841452.048282422
Kasparas JakuÄionis,MIA,19,945.0,-0.3227720657032364,rookie_scale,3658800.0,4,-14019690.642711997,above_cap_below_tax,1.0,-14019690.642711997
Jalen Williams,OKC,24,936.0,0.05839696062275269,open_negotiation,6580997.0,6,-200080968.69245046,above_cap_below_tax,1.0,-200080968.69245046
Jordan Poole,NOP,26,933.0,-1.022677260594923,open_negotiation,31848215.0,2,-68000311.00536679,above_cap_below_tax,1.0,-68000311.00536679
Clint Capela,HOU,31,926.0,-0.11904379301175946,open_negotiation,6700000.0,3,-14802519.234161085,first_apron,2.3,-34045794.23857049
Ben Saraf,BRK,19,916.0,-1.5911448602017861,rookie_scale,2884560.0,4,-35803627.90461193,below_cap,0.5,-17901813.952305965
Micah Peavy,NOP,24,913.0,-1.1228984269996014,min,1272870.0,4,-16922216.338886507,above_cap_below_tax,1.0,-16922216.338886507
